Driver,AvgRaceLapTime,PitStopCount,QualiPosition,FinalPosition,AirTemp,TrackTemp,Humidity,Year,GP,AvgQualifyingPosition,AvgFinishingPosition
VER,100.89733333333334,6,1.0,1.0,27.97,41.02,63.05,2025,Miami Grand Prix,2.588655308768091,4.3271076997957705
NOR,101.91353333333333,6,2.0,2.0,27.97,41.02,63.05,2025,Miami Grand Prix,7.111271198511861,6.908434361576576
ANT,107.70821428571428,7,3.0,3.0,27.97,41.02,63.05,2025,Miami Grand Prix,,
PIA,99.701,5,4.0,4.0,27.97,41.02,63.05,2025,Miami Grand Prix,,
RUS,102.231,7,5.0,5.0,27.97,41.02,63.05,2025,Miami Grand Prix,11.451304659337108,12.17491860135049
SAI,102.41908333333333,7,6.0,6.0,27.97,41.02,63.05,2025,Miami Grand Prix,6.924382491147197,7.035954437833695
ALB,103.6755,7,7.0,7.0,27.97,41.02,63.05,2025,Miami Grand Prix,16.0,14.25
LEC,101.43953846153846,6,8.0,8.0,27.97,41.02,63.05,2025,Miami Grand Prix,5.473180130173215,7.152090717450474
OCO,99.7826923076923,7,9.0,9.0,27.97,41.02,63.05,2025,Miami Grand Prix,11.518001233573587,10.996440137213025
TSU,98.31666666666666,7,10.0,10.0,27.97,41.02,63.05,2025,Miami Grand Prix,13.52002590536534,13.031447745626089
HAD,103.38871428571429,5,11.0,11.0,27.97,41.02,63.05,2025,Miami Grand Prix,,
HAM,102.12055555555555,5,12.0,12.0,27.97,41.02,63.05,2025,Miami Grand Prix,3.2735953246356932,3.849629173894382
BOR,103.1206,5,13.0,13.0,27.97,41.02,63.05,2025,Miami Grand Prix,,
DOO,100.73855555555556,5,14.0,14.0,27.97,41.02,63.05,2025,Miami Grand Prix,,
LAW,104.24,5,15.0,15.0,27.97,41.02,63.05,2025,Miami Grand Prix,,
HUL,98.08550000000001,3,16.0,16.0,27.97,41.02,63.05,2025,Miami Grand Prix,17.5,14.5
ALO,99.3596,3,17.0,17.0,27.97,41.02,63.05,2025,Miami Grand Prix,10.558843925308382,10.529275924130372
GAS,113.30957142857142,3,18.0,18.0,27.97,41.02,63.05,2025,Miami Grand Prix,7.812392307331695,10.842924591513812
STR,102.12483333333334,3,19.0,19.0,27.97,41.02,63.05,2025,Miami Grand Prix,13.939814544715148,11.939087551470942
BEA,106.25214285714286,2,20.0,20.0,27.97,41.02,63.05,2025,Miami Grand Prix,,
