Driver,AvgRaceLapTime,ReadableAvgLap,PitStopCount,QualiPosition,FinalPosition,AirTemp,TrackTemp,Humidity,GP,Year,AvgQualifyingPosition,AvgFinishingPosition,Year_x,Year_y
ALO,92.930131147541,1:32.930,3.0,15.0,10.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,9.0,19.0,,
BOT,101.96483333333336,1:41.964,1.0,8.0,18.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,3.0,3.0,,
GAS,93.36167213114754,1:33.361,4.0,5.0,7.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,5.0,17.0,,
GIO,93.42033333333332,1:33.420,4.0,17.0,14.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,12.0,12.0,,
HAM,89.36118644067797,1:29.361,4.0,1.0,2.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,2.0,1.0,,
LEC,90.71095161290322,1:30.710,2.0,4.0,4.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,4.0,6.0,,
MAZ,96.98161666666668,1:36.981,4.0,19.0,17.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,20.0,20.0,,
MSC,94.37689830508477,1:34.376,4.0,18.0,16.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,19.0,16.0,,
NOR,91.26569354838708,1:31.265,2.0,7.0,3.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,7.0,4.0,,
OCO,92.0426,1:32.042,5.0,9.0,9.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,16.0,13.0,,
PER,92.04198387096774,1:32.041,2.0,2.0,11.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,11.0,5.0,,
RAI,92.58003278688524,1:32.580,3.0,16.0,13.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,14.0,11.0,,
RIC,92.00691935483871,1:32.006,2.0,6.0,6.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,6.0,7.0,,
RUS,101.98156666666668,1:41.981,1.0,12.0,19.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,15.0,14.0,,
SAI,91.44651612903226,1:31.446,2.0,11.0,5.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,8.0,8.0,,
STR,92.33852459016391,1:32.338,3.0,10.0,8.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,10.0,10.0,,
TSU,92.78165573770492,1:32.781,3.0,20.0,12.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,13.0,9.0,,
VER,90.0299677419355,1:30.029,2.0,3.0,1.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,1.0,2.0,,
VET,94.40061016949151,1:34.400,6.0,13.0,15.0,10.62,16.83,69.49,Emilia Romagna Grand Prix,2021.0,18.0,15.0,,
ALO,86.91256060606061,1:26.912,3.0,13.0,8.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,12.0,14.5,,
BOT,86.43865151515152,1:26.438,4.0,1.0,3.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,5.5,10.5,,
GAS,87.08915151515151,1:27.089,3.0,9.0,10.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,5.0,12.0,,
GIO,87.29789230769231,1:27.297,3.0,12.0,12.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,14.5,13.0,,
HAM,85.93062121212121,1:25.930,3.0,2.0,1.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,1.5,1.5,,
LAT,88.78,1:28.780,3.0,18.0,18.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,15.5,19.0,,
LEC,86.77578787878788,1:26.775,3.0,8.0,6.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,4.0,5.0,,
MAZ,89.70865625,1:29.708,4.0,20.0,19.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,19.5,18.5,,
MSC,88.732046875,1:28.732,3.0,19.0,17.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,18.5,16.0,,
NOR,86.70893939393939,1:26.708,3.0,7.0,5.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,7.0,3.5,,
OCO,86.89651515151515,1:26.896,3.0,6.0,7.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,12.5,11.0,,
PER,86.53266666666667,1:26.532,3.0,4.0,4.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,6.5,8.0,,
RIC,87.07257575757576,1:27.072,3.0,16.0,9.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,6.0,6.5,,
RUS,88.2979076923077,1:28.297,3.0,11.0,16.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,13.5,16.5,,
SAI,87.1269090909091,1:27.126,3.0,5.0,11.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,9.5,6.5,,
STR,87.38976923076923,1:27.389,3.0,17.0,14.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,10.0,9.0,,
TSU,87.63903076923077,1:27.639,3.0,14.0,15.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,16.5,10.5,,
VER,86.37225757575759,1:26.372,4.0,3.0,2.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,2.0,1.5,,
VET,87.37890769230769,1:27.378,3.0,10.0,13.0,19.39,38.95,39.4,Portuguese Grand Prix,2021.0,15.5,15.0,,
ALO,87.04913846153846,1:27.049,2.0,10.0,17.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,12.333333333333334,12.333333333333334,,
BOT,85.065,1:25.064,2.0,3.0,3.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,4.0,8.0,,
GAS,86.56047692307692,1:26.560,2.0,12.0,10.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,6.333333333333333,11.333333333333334,,
GIO,85.737015625,1:25.737,2.0,14.0,15.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,13.666666666666666,12.666666666666666,,
HAM,84.66181818181819,1:24.661,2.0,1.0,1.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,1.6666666666666667,1.3333333333333333,,
LAT,87.04418461538462,1:27.044,3.0,19.0,16.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,16.333333333333332,18.666666666666668,,
LEC,85.48933333333333,1:25.489,2.0,4.0,4.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,5.333333333333333,5.333333333333333,,
MAZ,88.14459375,1:28.144,2.0,20.0,19.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,19.666666666666668,18.666666666666668,,
MSC,87.3655,1:27.365,2.0,18.0,18.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,18.666666666666668,16.333333333333332,,
NOR,86.34253846153847,1:26.342,2.0,9.0,8.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,7.0,4.0,,
OCO,86.55755384615385,1:26.557,1.0,5.0,9.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,10.333333333333334,9.666666666666666,,
PER,85.6265303030303,1:25.626,2.0,8.0,5.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,5.666666666666667,6.666666666666667,,
RAI,86.65886153846154,1:26.658,1.0,17.0,12.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,15.0,14.666666666666666,,
RIC,85.77951515151516,1:25.779,2.0,7.0,6.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,9.333333333333334,7.333333333333333,,
RUS,86.8684923076923,1:26.868,2.0,15.0,14.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,12.666666666666666,16.333333333333332,,
SAI,85.79318181818182,1:25.793,2.0,6.0,7.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,8.0,8.0,,
STR,86.64103076923078,1:26.641,2.0,11.0,11.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,12.333333333333334,10.666666666666666,,
VER,84.90183333333333,1:24.901,2.0,2.0,2.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,2.3333333333333335,1.6666666666666667,,
VET,86.72378461538462,1:26.723,2.0,13.0,13.0,22.2,32.92,57.55,Spanish Grand Prix,2021.0,13.666666666666666,14.333333333333334,,
ALO,77.70535064935065,1:17.705,1.0,17.0,13.0,20.76,37.6,61.42,Monaco Grand Prix,2021.0,11.75,13.5,,
GAS,76.80405128205129,1:16.804,1.0,6.0,6.0,20.76,37.6,61.42,Monaco Grand Prix,2021.0,7.75,11.0,,
GIO,77.65353246753247,1:17.653,1.0,10.0,10.0,20.76,37.6,61.42,Monaco Grand Prix,2021.0,13.75,13.25,,
HAM,76.98783333333334,1:16.987,2.0,7.0,7.0,20.76,37.6,61.42,Monaco Grand Prix,2021.0,1.5,1.25,,
LAT,78.04811688311688,1:18.048,1.0,18.0,15.0,20.76,37.6,61.42,Monaco Grand Prix,2021.0,17.0,18.0,,
MAZ,79.66484,1:19.664,1.0,19.0,17.0,20.76,37.6,61.42,Monaco Grand Prix,2021.0,19.75,18.75,,
NOR,76.36214102564102,1:16.362,1.0,5.0,3.0,20.76,37.6,61.42,Monaco Grand Prix,2021.0,7.5,5.0,,
