Driver,AvgRaceLapTime,PitStopCount,QualiPosition,FinalPosition,AirTemp,TrackTemp,Humidity,Year_x,GP,AvgQualifyingPosition,AvgFinishingPosition,Year_y,Year
NOR,103.42830188679244,5.0,1.0,1.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,7.111271198511861,6.908434361576576,2022.6410256410256,
PIA,102.08446153846154,5.0,2.0,9.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,,,2023.5217391304348,
VER,103.34115094339624,5.0,3.0,2.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,2.588655308768091,4.3271076997957705,2022.6410256410256,
RUS,103.68633962264153,5.0,4.0,3.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,11.451304659337108,12.17491860135049,2022.6410256410256,
TSU,104.08569811320756,5.0,5.0,12.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,13.52002590536534,13.031447745626089,2022.6493506493507,
ALB,104.67238888888888,5.0,6.0,5.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,16.0,14.25,2023.1929824561405,
LEC,103.9335283018868,5.0,7.0,8.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,5.473180130173215,7.152090717450474,2022.6410256410256,
HAM,103.9671886792453,5.0,8.0,10.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,3.2735953246356932,3.849629173894382,2022.6410256410256,
GAS,104.88916666666668,5.0,9.0,11.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,7.812392307331695,10.842924591513812,2022.6410256410256,
SAI,,,10.0,18.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,6.924382491147197,7.035954437833695,2022.6184210526317,
HAD,,,11.0,20.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,,,,
ALO,98.51737931034482,3.0,12.0,17.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,10.558843925308382,10.529275924130372,2022.6410256410256,
STR,104.73012962962964,5.0,13.0,6.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,13.939814544715148,11.939087551470942,2022.6363636363635,
DOO,,,14.0,19.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,,,,
BOR,102.65563414634148,5.0,15.0,16.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,,,,
ANT,104.57937037037036,5.0,16.0,4.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,,,,
HUL,104.74016666666668,5.0,17.0,7.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,17.5,14.5,2023.4583333333333,
LAW,101.7525238095238,5.0,18.0,15.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,,,2023.5,
OCO,103.84869811320756,5.0,19.0,13.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,11.518001233573589,10.996440137213025,2022.6410256410256,
BEA,103.8700754716981,6.0,20.0,14.0,15.71,18.94,78.42,2025.0,Australian Grand Prix,,,2024.0,
PIA,97.41117857142856,1.0,1.0,1.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,,,2023.5217391304348,
RUS,97.60933928571428,1.0,2.0,3.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,11.451304659337108,12.17491860135049,2022.6410256410256,
NOR,97.58525,1.0,3.0,2.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,7.111271198511861,6.908434361576576,2022.6410256410256,
VER,97.70860714285712,1.0,4.0,4.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,2.588655308768091,4.3271076997957705,2022.6410256410256,
HAM,97.86441071428573,2.0,5.0,19.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,3.2735953246356932,3.849629173894382,2022.6410256410256,
LEC,97.82566071428572,1.0,6.0,18.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,5.473180130173215,7.152090717450474,2022.6410256410256,
HAD,98.81966071428572,2.0,7.0,11.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,,,,
ANT,98.3709642857143,1.0,8.0,6.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,,,,
TSU,99.60976363636364,3.0,9.0,16.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,13.52002590536534,13.031447745626089,2022.6493506493507,
ALB,98.4169107142857,1.0,10.0,7.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,16.0,14.25,2023.1929824561405,
OCO,98.30348214285712,1.0,11.0,5.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,11.518001233573589,10.996440137213025,2022.6410256410256,
HUL,99.55003636363637,1.0,12.0,15.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,17.5,14.5,2023.4583333333333,
ALO,111.3935,,13.0,17.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,10.558843925308382,10.529275924130372,2022.6410256410256,
STR,98.6648214285714,1.0,14.0,9.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,13.939814544715148,11.939087551470942,2022.6363636363635,
SAI,98.77523214285712,1.0,15.0,10.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,6.924382491147197,7.035954437833695,2022.6184210526317,
GAS,98.6110892857143,1.0,16.0,20.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,7.812392307331695,10.842924591513812,2022.6410256410256,
BEA,98.505875,1.0,17.0,8.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,,,2024.0,
DOO,98.81119642857142,1.0,18.0,13.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,,,,
BOR,99.37785454545455,2.0,19.0,14.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,,,,
LAW,98.86023214285714,3.0,20.0,12.0,27.22,35.82,18.23,2025.0,Chinese Grand Prix,,,2023.5,
VER,92.96194339622642,1.0,1.0,1.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,2.588655308768091,4.3271076997957705,2022.6410256410256,
NOR,92.98879245283018,1.0,2.0,2.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,7.111271198511861,6.908434361576576,2022.6410256410256,
PIA,93.00211320754715,1.0,3.0,3.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,,,2023.5217391304348,
LEC,93.26566037735849,1.0,4.0,4.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,5.473180130173215,7.152090717450474,2022.6410256410256,
RUS,93.2895283018868,1.0,5.0,5.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,11.451304659337108,12.17491860135049,2022.6410256410256,
ANT,93.31422641509435,1.0,6.0,6.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,,,,
HAD,93.66258490566038,1.0,7.0,8.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,,,,
HAM,93.51254716981131,1.0,8.0,7.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,3.2735953246356932,3.849629173894382,2022.6410256410256,
ALB,93.7235849056604,1.0,9.0,9.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,16.0,14.25,2023.1929824561405,
BEA,93.99079245283018,1.0,10.0,10.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,,,2024.0,
GAS,94.13405660377356,1.0,11.0,13.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,7.812392307331695,10.842924591513812,2022.6410256410256,
SAI,94.36060377358493,1.0,12.0,14.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,6.924382491147197,7.035954437833695,2022.6184210526317,
ALO,94.04369811320754,1.0,13.0,11.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,10.558843925308382,10.529275924130372,2022.6410256410256,
LAW,94.52296226415092,1.0,14.0,17.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,,,2023.5,
TSU,94.06384905660376,1.0,15.0,12.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,13.52002590536534,13.031447745626089,2022.6493506493507,
HUL,94.50830188679248,1.0,16.0,16.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,17.5,14.5,2023.4583333333333,
BOR,94.54490566037737,1.0,17.0,19.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,,,,
OCO,94.53624528301889,1.0,18.0,18.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,11.518001233573589,10.996440137213025,2022.6410256410256,
DOO,94.49616981132075,1.0,19.0,15.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,,,,
STR,94.99830769230768,2.0,20.0,20.0,14.43,20.51,76.37,2025.0,Japanese Grand Prix,13.939814544715148,11.939087551470942,2022.6363636363635,
PIA,99.524375,2.0,1.0,1.0,27.05,31.87,45.33,2025.0,Bahrain Grand Prix,,,2023.5217391304348,
RUS,100.0234181818182,2.0,2.0,2.0,27.05,31.87,45.33,2025.0,Bahrain Grand Prix,11.451304659337108,12.17491860135049,2022.6410256410256,
LEC,100.01864285714284,2.0,3.0,4.0,27.05,31.87,45.33,2025.0,Bahrain Grand Prix,5.473180130173215,7.152090717450474,2022.6410256410256,
ANT,100.64744642857144,3.0,4.0,11.0,27.05,31.87,45.33,2025.0,Bahrain Grand Prix,,,,
